"Brand","Model","Model.year","Price","Voltage","Power","Torque","Curb.weight","Battery.capacity","Top.speed","Acceleration.from.0.to.100.km.h","NEDC..New.European.Driving.Cycle.","EPA..Electric.car.range.and.efficiency.","WLTP..Worldwide.harmonized.Light.vehicles.Test.Procedure."
"Mercedes-Benz","EQC",2020,"USD 67,900 (USA, Nov 2019)GBP 65,640 (UK, Jul 2019)",405,NA,NA,2495,80,180,5.1,NA,NA,NA
"MG","ZS EV",2020,"GBP 30,995 (UK, Oct 2019)",NA,105,353,1539,44.5,140,8.5,NA,NA,NA
"MG","ZS EV",2020,"GBP 28,495 (UK, Oct 2019)",NA,105,353,1502,44.5,140,8.5,NA,NA,NA
"MINI","Cooper SE",2020,"GBP 30,400 (UK, Oct 2019)USD 37,750 (USA, Oct 2019)",350.4,135,270,1365,32.6,150,7.3,NA,NA,NA
"MINI","Cooper SE",2020,"GBP 26,400 (UK, Oct 2019)USD 34,750 (USA, Oct 2019)",350.4,135,270,1365,32.6,150,7.3,NA,NA,NA
"MINI","Cooper SE",2020,"EUR 32,500 (EU, Oct 2019)GBP 24,400 (UK, Oct 2019)USD 30,750 (USA, Oct 2019)",350.4,135,270,1365,32.6,150,7.3,NA,177,231.7
"NIO","ES6",2019,"CNY 448,000 (PRC, Sep 2019)",NA,400,725,NA,84,200,4.7,510,NA,NA
"NIO","ES6",2019,"CNY 398,000 (PRC, Sep 2019)",NA,400,725,2345,70,200,4.7,430,NA,NA
"NIO","ES6",2019,"CNY 408,000 (PRC, Sep 2019)",NA,320,610,NA,84,200,5.6,490,NA,NA
"NIO","ES6",2019,"CNY 358,000 (PRC, Sep 2019)",NA,320,610,2345,70,200,5.6,420,NA,NA
"NIO","ES8",2019,"CNY 498,000 (PRC, Jul 2019)",NA,480,840,2460,84,200,4.4,425,NA,NA
"NIO","ES8",2018,"CNY 448,000 (PRC, Jul 2019)",NA,480,840,2460,70,200,4.4,355,NA,NA
"Nissan","Leaf",2019,"USD 42,550 (USA, Jul 2019)CAD 50,898 (CAN, Jul 2019)GBP 35,895 (UK, Jul 2019)EUR 46,500 (DE, Jul 2019)EUR 39,500 (FR, Jul 2019)EUR 44,870 (ES, Jul 2019)EUR 47,950 (IT, Jul 2019)",360,160,340,1748,62,159,NA,NA,346,NA
"Nissan","Leaf",2019,"USD 38,510 (USA, Jul 2019)CAD 47,898 (CAN, Jul 2019)EUR 44,700 (DE, Jul 2019)EUR 37,700 (FR, Jul 2019)EUR 42,320 (ES, Jul 2019)",360,160,340,1729,62,159,NA,NA,346,NA
"Nissan","Leaf",2019,"USD 36,550 (USA, Jul 2019)CAD 44,898 (CAN, Jul 2019)JPY 4,162,320 (JAP, Jul 2019)",360,160,340,1715,62,159,NA,NA,363.7,NA
"Nissan","Leaf",2019,"USD 36,300 (USA, Jul 2019)GBP 30,995 (UK, Jul 2019)EUR 40,540 (NL, Jul 2019)EUR 40,300 (DE, Jul 2019)EUR 34,200 (FR, Jul 2019)EUR 36,150 (ES, Jul 2019)EUR 41,330 (IT, Jul 2019)AUD 49,990 (AU, Jul 2019)",360,110,320,1591,40,144,7.9,378,243,270
"Nissan","Leaf",2019,"USD 32,600 (USA, Jul 2019)CAD 42,298 (CAN, Jul 2019)GBP 29,295 (UK, Jul 2019)EUR 38,940 (NL, Jul 2019)EUR 38,500 (DE, Jul 2019)EUR 32,400 (FR, Jul 2019)EUR 33,600 (ES, Jul 2019)EUR 39,475 (IT, Jul 2019)",360,110,320,1573,40,144,7.9,378,243,270
"Nissan","Leaf",2019,"USD 29,900 (USA, Jul 2019)GBP 27,995 (UK, Jul 2019)EUR 36,990 (NL, Jul 2019)EUR 36,800 (DE, Jul 2019)EUR 30,400 (FR, Jul 2019)EUR 32,100 (ES, Jul 2019)EUR 38,700 (IT, Jul 2019)",360,110,320,1558,40,144,7.9,NA,NA,NA
"Nissan","Leaf",2018,NA,360,110,320,1592,40,144,7.9,378,243,270
"Nissan","Leaf",2018,NA,360,110,320,1573,40,144,7.9,378,243,270
"Nissan","Leaf",2018,NA,360,110,320,1557,40,144,7.9,378,243,270
"Nissan","Leaf",2017,NA,360,80,254,1545,30,145,11.5,NA,172.2,NA
"Nissan","Leaf",2017,NA,360,80,254,1536,30,145,11.5,NA,172.2,NA
"Nissan","Leaf",2017,NA,360,80,254,1507,30,145,11.5,NA,172.2,NA
"Nissan","Leaf",2016,NA,360,80,254,1538,30,145,11.5,NA,172.2,NA
"Nissan","Leaf",2016,NA,360,80,254,1516,30,145,11.5,NA,172.2,NA
"Nissan","Leaf",2016,NA,360,80,254,1477,24,145,11.5,NA,135.2,NA
"Nissan","Leaf",2015,NA,360,80,254,1510,24,145,11.3,NA,135.2,NA
"Nissan","Leaf",2015,NA,360,80,254,1486,24,145,11.3,NA,135.2,NA
"Nissan","Leaf",2015,NA,360,80,254,1471,24,145,11.3,NA,135.2,NA
"Nissan","Leaf",2014,NA,360,80,254,1508,24,145,11.3,NA,135.2,NA
"Nissan","Leaf",2014,NA,360,80,254,1486,24,145,11.3,NA,135.2,NA
"Nissan","Leaf",2014,NA,360,80,254,1470,24,145,11.3,NA,135.2,NA
"Nissan","Leaf",2013,NA,360,80,254,1515,24,145,NA,200,120.7,NA
"Nissan","Leaf",2013,NA,360,80,254,1493,24,145,NA,200,120.7,NA
